factor,rms_cm,max_cm,stable
0.5,4.131890930341169,4.271429374364965,True
0.75,1.6897781133551208,1.7152058259103091,True
1.0,1.6461179192978515,1.6800705637895839,True
1.25,1.6034758438214602,1.6459805079035033,True
1.5,1.5619262277254915,1.6130248238465366,True
2.0,1.4824193241313415,1.5509242373684249,True
3.0,inf,inf,False
