coefficient,rms_cm,max_cm,stable
0.0,1.6461179192978515,1.6800705637895839,True
0.1,1.1771374710307039,1.2157680809535543,True
0.25,1.2501651690791225,1.3009917651990306,True
0.5,2.7354373529824096,2.7915096252939344,True
0.75,4.490283471090057,4.548700669359769,True
1.0,6.265047522057962,6.3257346195388475,True
1.5,9.751178805783487,9.816723320060479,True
2.0,13.103031902789308,13.174359895949431,True
