tau_ms,rms_cm,max_cm,stable
0.0,1.6461179192978515,1.6800705637895839,True
10.0,1.646117919297857,1.680070563789617,True
20.0,1.6461020008883456,1.6800375052776126,True
30.0,1.6460893186898626,1.6800044215514125,True
50.0,12.295300353481945,12.97588842911494,True
70.0,inf,inf,False
100.0,inf,inf,False
