config,drag_coeff,controller,perturbed,rms_cm,max_cm,crashed,crash_time,solve_ms_mean,solve_ms_max,residual_vz_mean,residual_vz_std,thrust_correction_mean,thrust_correction_max_abs,elapsed_s
baseline,0.0,nominal,False,1.6461179192978515,1.6800705637895839,False,,4.3975833257039385,816.2918090820312,nan,nan,nan,nan,6.784663200378418
nominal_perturbed,0.0,nominal,True,1.6461179192978515,1.6800705637895839,False,,4.278417587280273,69.90218162536621,nan,nan,nan,nan,6.6721179485321045
ff_residual_perturbed,0.0,ff_residual,True,1.6425075426339257,1.6768322096702284,False,,4.770116011301677,78.27877998352051,0.0002773709444084002,0.002749915365026772,-0.03671034760623501,5.0,7.423298358917236
nominal_perturbed,0.1,nominal,True,1.1771374710307039,1.2157680809535543,False,,4.283027807871501,75.52862167358398,nan,nan,nan,nan,6.675352096557617
ff_residual_perturbed,0.1,ff_residual,True,1.1725735839819567,1.211929290469326,False,,4.138734658559163,68.59564781188965,0.00027070814269596446,0.002741051707623729,-0.035827543088117274,5.0,6.4101574420928955
nominal_perturbed,0.3,nominal,True,1.4800618612355458,1.5329579008231107,False,,4.082880179087321,68.04323196411133,nan,nan,nan,nan,6.351019859313965
ff_residual_perturbed,0.3,ff_residual,True,1.4766734636303844,1.528688489643061,False,,4.13554843266805,68.43090057373047,0.0002817788732091634,0.0027245436649918765,-0.03729444888303052,5.0,6.4027838706970215
nominal_perturbed,0.5,nominal,True,2.7354373529824096,2.7915096252939344,False,,3.974583466847738,67.85988807678223,nan,nan,nan,nan,6.172456741333008
ff_residual_perturbed,0.5,ff_residual,True,2.7335022661796815,2.7884358380103658,False,,4.097494284311931,68.52173805236816,0.00031389818523505837,0.00270856151798839,-0.041550292524538505,5.0,6.343098402023315
nominal_perturbed,1.0,nominal,True,6.265047522057962,6.3257346195388475,False,,4.3812605539957685,69.88787651062012,nan,nan,nan,nan,6.831859111785889
ff_residual_perturbed,1.0,ff_residual,True,6.264444279922687,6.324832651601947,False,,4.255865255991618,76.60913467407227,0.00033644262768076224,0.002681304794597197,-0.04453752179458862,5.0,6.58970832824707
nominal_perturbed,1.5,nominal,True,9.751178805783487,9.816723320060479,False,,4.1242720286051435,67.84415245056152,nan,nan,nan,nan,6.406153678894043
ff_residual_perturbed,1.5,ff_residual,True,9.751602513238064,9.8149736864336,False,,4.190902233123779,68.47095489501953,0.00012429176154739996,0.002702358555402115,-0.016427628115350115,5.0,6.485469341278076
nominal_perturbed,2.0,nominal,True,13.103031902789308,13.174359895949431,False,,4.5771152178446455,68.6960220336914,nan,nan,nan,nan,7.142789125442505
ff_residual_perturbed,2.0,ff_residual,True,13.105811411414784,13.176301975091862,False,,4.506124337514241,73.67634773254395,-0.00029425514318808454,0.0029230076868960483,0.03902973493525198,5.0,6.979025840759277
