config,mass_factor,seed,controller,perturbed,label,rms_cm,max_cm,crashed,crash_reason,crash_time,solve_ms_mean,solve_ms_max,residual_vz_mean,residual_vz_std,thrust_correction_mean,thrust_correction_max_abs
baseline,1.0,-1,nominal,False,baseline_nominal_nominal,1.6461179192978515,1.6800705637895839,False,,,4.101169268290202,368.7474727630615,nan,nan,nan,nan
nominal_perturbed,0.7,0,nominal,True,nominal_mass0.7_seed0,7.769110624749883,7.786737927373258,False,,,4.068624337514241,69.23317909240723,nan,nan,nan,nan
ff_residual_perturbed,0.7,0,ff_residual,True,ff_residual_mass0.7_seed0,2.640047929125606,2.682396957771759,False,,,4.229304313659668,67.8865909576416,0.02185965781224891,0.001736601910469582,-2.896325434212014,5.0
nominal_perturbed,0.7,1,nominal,True,nominal_mass0.7_seed1,7.769110624749883,7.786737927373258,False,,,4.5630873044331866,78.2461166381836,nan,nan,nan,nan
ff_residual_perturbed,0.7,1,ff_residual,True,ff_residual_mass0.7_seed1,2.640047929125606,2.682396957771759,False,,,4.071500937143962,67.2295093536377,0.02185965781224891,0.001736601910469582,-2.896325434212014,5.0
nominal_perturbed,0.7,2,nominal,True,nominal_mass0.7_seed2,7.769110624749883,7.786737927373258,False,,,4.113571484883626,67.77119636535645,nan,nan,nan,nan
ff_residual_perturbed,0.7,2,ff_residual,True,ff_residual_mass0.7_seed2,2.640047929125606,2.682396957771759,False,,,4.069883982340495,67.8863525390625,0.02185965781224891,0.001736601910469582,-2.896325434212014,5.0
nominal_perturbed,0.8,0,nominal,True,nominal_mass0.8_seed0,5.366492312524762,5.385443711514775,False,,,4.2085394859313965,68.2687759399414,nan,nan,nan,nan
ff_residual_perturbed,0.8,0,ff_residual,True,ff_residual_mass0.8_seed0,2.1015376992315313,2.148648720570472,False,,,4.245196342468262,68.34816932678223,0.014972898711083241,0.0021624540422890905,-1.9838503294861085,5.0
nominal_perturbed,0.8,1,nominal,True,nominal_mass0.8_seed1,5.366492312524762,5.385443711514775,False,,,4.164962927500407,68.43423843383789,nan,nan,nan,nan
ff_residual_perturbed,0.8,1,ff_residual,True,ff_residual_mass0.8_seed1,2.1015376992315313,2.148648720570472,False,,,4.167146682739258,81.83598518371582,0.014972898711083241,0.0021624540422890905,-1.9838503294861085,5.0
nominal_perturbed,0.8,2,nominal,True,nominal_mass0.8_seed2,5.366492312524762,5.385443711514775,False,,,3.976975599924723,67.72494316101074,nan,nan,nan,nan
ff_residual_perturbed,0.8,2,ff_residual,True,ff_residual_mass0.8_seed2,2.1015376992315313,2.148648720570472,False,,,4.140908877054851,68.77851486206055,0.014972898711083241,0.0021624540422890905,-1.9838503294861085,5.0
nominal_perturbed,0.9,0,nominal,True,nominal_mass0.9_seed0,3.0945225861230896,3.1189539094791803,False,,,4.136755466461182,72.88551330566406,nan,nan,nan,nan
ff_residual_perturbed,0.9,0,ff_residual,True,ff_residual_mass0.9_seed0,1.7650579381296518,1.8126187635709783,False,,,4.075089295705159,68.04537773132324,0.0077075773144876635,0.00244204202458673,-1.0212068401554022,5.0
nominal_perturbed,0.9,1,nominal,True,nominal_mass0.9_seed1,3.0945225861230896,3.1189539094791803,False,,,3.976987838745117,69.62728500366211,nan,nan,nan,nan
ff_residual_perturbed,0.9,1,ff_residual,True,ff_residual_mass0.9_seed1,1.7650579381296518,1.8126187635709783,False,,,4.063432216644287,67.2304630279541,0.0077075773144876635,0.00244204202458673,-1.0212068401554022,5.0
nominal_perturbed,0.9,2,nominal,True,nominal_mass0.9_seed2,3.0945225861230896,3.1189539094791803,False,,,3.9584118525187173,68.68147850036621,nan,nan,nan,nan
ff_residual_perturbed,0.9,2,ff_residual,True,ff_residual_mass0.9_seed2,1.7650579381296518,1.8126187635709783,False,,,4.075852711995442,69.07248497009277,0.0077075773144876635,0.00244204202458673,-1.0212068401554022,5.0
nominal_perturbed,1.0,0,nominal,True,nominal_mass1.0_seed0,1.6461179192978515,1.6800705637895839,False,,,4.0971786181132,72.4496841430664,nan,nan,nan,nan
ff_residual_perturbed,1.0,0,ff_residual,True,ff_residual_mass1.0_seed0,1.6425075426339257,1.6768322096702284,False,,,4.259853998819987,70.68777084350586,0.0002773709444084002,0.002749915365026772,-0.03671034760623501,5.0
nominal_perturbed,1.0,1,nominal,True,nominal_mass1.0_seed1,1.6461179192978515,1.6800705637895839,False,,,4.224057833353679,68.71533393859863,nan,nan,nan,nan
ff_residual_perturbed,1.0,1,ff_residual,True,ff_residual_mass1.0_seed1,1.6425075426339257,1.6768322096702284,False,,,4.284085750579834,76.40981674194336,0.0002773709444084002,0.002749915365026772,-0.03671034760623501,5.0
nominal_perturbed,1.0,2,nominal,True,nominal_mass1.0_seed2,1.6461179192978515,1.6800705637895839,False,,,4.015507698059082,68.78328323364258,nan,nan,nan,nan
ff_residual_perturbed,1.0,2,ff_residual,True,ff_residual_mass1.0_seed2,1.6425075426339257,1.6768322096702284,False,,,4.106131235758464,70.66583633422852,0.0002773709444084002,0.002749915365026772,-0.03671034760623501,5.0
nominal_perturbed,1.1,0,nominal,True,nominal_mass1.1_seed0,2.866393696597757,2.8845327606558873,False,,,3.963776111602783,67.5191879272461,nan,nan,nan,nan
ff_residual_perturbed,1.1,0,ff_residual,True,ff_residual_mass1.1_seed0,1.749610698659626,1.7869049276273783,False,,,4.14283561706543,67.58570671081543,-0.007134976062911453,0.003060992483027321,0.9454158604161215,5.0
nominal_perturbed,1.1,1,nominal,True,nominal_mass1.1_seed1,2.866393696597757,2.8845327606558873,False,,,4.1548991203308105,68.61042976379395,nan,nan,nan,nan
ff_residual_perturbed,1.1,1,ff_residual,True,ff_residual_mass1.1_seed1,1.749610698659626,1.7869049276273783,False,,,4.156923611958821,68.23372840881348,-0.007134976062911453,0.003060992483027321,0.9454158604161215,5.0
